annotation,n,coefficient,ols_p,cluster_robust_p,delta_r2,spearman_corr,spearman_p,adjusted_p
gnomad_loeuf,441,-0.02557081080961723,0.6241299947344424,0.6567867599326187,0.000542823394732439,-0.017020985450367225,0.7215020622844657,0.6567867599326187
gnomad_pli,441,-0.06843377159947746,0.21779973114926302,0.22207377733520828,0.0034286444406828043,0.006912195110816821,0.8849115382815165,0.2960983697802777
disorder_fraction,499,0.5170507585835256,2.8769826243272133e-05,4.229555058124928e-05,0.033838452703236044,0.17291798454448204,0.00010347703323955267,0.00016918220232499712
depmap_gene_effect,431,-0.06592780832229334,0.2306047982978085,0.16092328803147418,0.0033378944558326573,-0.0053403238667362124,0.9119757204419976,0.2960983697802777
